Hybridization REF	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1205	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1206	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1207	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1208	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-122	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1224	2	1.53016	N	1	0.520981	N	6	4.746588	N	0	0	N	0	0	N	0	0	N
hsa-mir-1225	0	0	N	2	1.041963	N	2	1.582196	N	0	0	N	0	0	N	1	0.81652	N
hsa-mir-1226	5	3.8254	N	0	0	N	3	2.373294	N	1	1.002232	N	8	2.307297	N	8	6.532159	N
hsa-mir-1227	3	2.29524	N	2	1.041963	N	2	1.582196	N	1	1.002232	N	8	2.307297	N	1	0.81652	N
hsa-mir-1228	5	3.8254	N	0	0	N	3	2.373294	N	0	0	N	4	1.153648	N	3	2.449559	N
hsa-mir-1229	3	2.29524	N	0	0	N	5	3.95549	N	1	1.002232	N	0	0	N	7	5.715639	N
hsa-mir-1231	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1233	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1234	0	0	N	1	0.520981	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1236	1	0.76508	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1237	1	0.76508	N	0	0	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
