Hybridization REF	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-15a	97	74.212752	N	209	108.885131	N	86	68.034422	N	100	100.223197	N	336	96.906463	N	44	35.926872	N
hsa-mir-15b	244	186.6795	N	470	244.861299	N	278	219.925225	N	270	270.602632	N	736	212.2713	N	106	86.551102	N
hsa-mir-16-1	985	753.603718	N	1825	950.791215	N	766	605.981017	N	1565	1568.493034	N	3440	992.137598	N	444	362.534804	N
hsa-mir-16-2	19	14.536518	N	27	14.0665	N	25	19.777448	N	15	15.03348	N	38	10.95966	N	11	8.981718	N
hsa-mir-17	2253	1723.725052	Y	1889	984.13403	Y	2537	2007.015456	Y	427	427.953051	Y	6165	1778.06055	Y	1440	1175.788554	Y
hsa-mir-181a-1	586	448.336831	N	822	428.246783	N	843	666.895558	N	604	605.34811	N	2577	743.237962	N	769	627.903749	Y
hsa-mir-181a-2	1124	859.949826	N	1101	573.600618	N	695	549.813064	N	504	505.124913	N	2060	594.12891	N	1081	882.657935	N
hsa-mir-181b-1	202	154.546143	N	271	141.185983	N	457	361.531755	N	132	132.29462	N	577	166.413777	N	289	235.974231	N
hsa-mir-181b-2	27	20.657158	N	32	16.671408	N	18	14.239763	N	7	7.015624	N	9	2.595709	N	34	27.761674	N
hsa-mir-181c	145	110.936588	N	136	70.853482	N	125	98.887242	N	49	49.109367	N	327	94.310754	N	204	166.570045	Y
hsa-mir-181d	15	11.476199	N	14	7.293741	N	20	15.821959	N	4	4.008928	N	108	31.148506	N	22	17.963436	N
hsa-mir-182	22288	17052.10118	N	11140	5803.73377	N	13933	11022.3675	N	3545	3552.912336	N	56078	16173.57332	N	11119	9078.883981	N
hsa-mir-1825	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1826	5316	4067.164836	N	20493	10676.47362	N	25112	19866.0513	N	15289	15323.1246	N	3303	952.625141	N	18742	15303.21464	N
hsa-mir-1827	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-183	17358	13280.25719	N	4836	2519.466473	N	10863	8593.696848	N	1532	1535.419379	N	30371	8759.363659	N	7788	6359.05643	N
hsa-mir-184	3	2.29524	N	0	0	N	0	0	N	0	0	N	0	0	N	38	31.027754	N
hsa-mir-185	42	32.133356	N	63	32.821834	N	44	34.808309	N	55	55.122758	N	144	41.531341	N	42	34.293833	N
hsa-mir-186	812	621.244892	N	559	291.228651	N	265	209.640952	N	243	243.542369	N	1258	362.822412	N	480	391.929518	N
hsa-mir-187	0	0	N	1	0.520981	N	1	0.791098	N	2	2.004464	N	14	4.037769	N	4	3.266079	N
hsa-mir-188	18	13.771438	N	62	32.300852	N	32	25.315134	N	31	31.069191	N	30	8.652363	N	40	32.660793	N
hsa-mir-18a	142	108.641348	Y	103	53.661093	Y	218	172.459349	Y	26	26.058031	Y	142	40.954517	Y	108	88.184142	Y
hsa-mir-18b	14	10.711119	Y	15	7.814722	Y	28	22.150742	Y	8	8.017856	Y	8	2.307297	Y	10	8.165198	Y
hsa-mir-190	10	7.650799	N	23	11.982574	N	24	18.98635	N	15	15.03348	N	14	4.037769	N	3	2.449559	N
hsa-mir-1908	0	0	N	0	0	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-1909	0	0	N	0	0	N	1	0.791098	N	0	0	N	0	0	N	0	0	N
hsa-mir-190b	0	0	N	0	0	N	0	0	N	1	1.002232	N	0	0	N	0	0	N
hsa-mir-191	1869	1429.934364	N	1036	539.736821	N	1482	1172.407137	N	436	436.973139	N	3087	890.328129	N	1177	961.043839	N
hsa-mir-1910	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1911	0	0	N	0	0	N	0	0	N	0	0	N	10	2.884121	N	0	0	N
hsa-mir-1912	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1913	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1914	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1915	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-192	174490	133498.7946	Y	179486	93508.88326	Y	102229	80873.15061	Y	46266	46369.26435	Y	370608	106887.8288	Y	163798	133744.315	Y
hsa-mir-193a	46	35.193676	N	187	97.423538	N	93	73.572108	N	230	230.513353	N	133	38.358808	N	79	64.505067	N
hsa-mir-193b	27	20.657158	N	26	13.545519	N	32	25.315134	N	32	32.071423	N	177	51.04894	N	45	36.743392	N
hsa-mir-194-1	10663	8158.047149	N	12986	6765.465596	N	5819	4603.398873	N	1948	1952.347879	N	37201	10729.21825	N	10579	8637.963273	N
hsa-mir-194-2	11801	9028.708094	N	13701	7137.967359	N	6504	5145.300957	N	2056	2060.588932	N	39621	11427.17551	N	11050	9022.544112	N
hsa-mir-195	52	39.784156	N	112	58.349927	N	36	28.479526	N	33	33.073655	N	102	29.418033	N	44	35.926872	N
hsa-mir-196a-1	243	185.91442	N	410	213.60241	N	412	325.932348	N	48	48.107135	N	1251	360.803528	N	18	14.697357	N
hsa-mir-196a-2	0	0	N	1	0.520981	N	2	1.582196	N	0	0	N	16	4.614593	N	0	0	N
hsa-mir-196b	7528	5759.521611	N	3649	1901.061448	N	4922	3893.784027	N	623	624.390518	N	21328	6151.253107	N	9173	7489.936393	N
hsa-mir-197	538	411.612995	N	205	106.801205	N	74	58.541247	N	148	148.330332	N	540	155.74253	N	223	182.083922	N
hsa-mir-1972	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1973	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1974	5796	4434.403196	N	3039	1583.26274	N	3839	3037.024965	N	2750	2756.137919	N	3689	1063.952209	N	2231	1821.655739	N
hsa-mir-1975	1793	1371.78829	N	3903	2033.390745	N	3640	2879.596477	N	2044	2048.562148	N	3427	988.388241	N	3270	2670.019841	N
hsa-mir-1976	4	3.06032	N	6	3.125889	N	8	6.328783	N	9	9.020088	N	5	1.44206	N	7	5.715639	N
hsa-mir-1977	179	136.949305	N	145	75.542316	N	217	171.668251	N	61	61.13615	N	171	49.318468	N	104	84.918062	N
hsa-mir-1978	129	98.695309	N	151	78.668205	N	212	167.712762	N	74	74.165166	N	78	22.496143	N	104	84.918062	N
hsa-mir-1979	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-198	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-199a-1	1643	1257.026303	Y	4285	2232.405674	Y	3348	2648.59588	Y	4011	4019.952434	Y	7778	2243.269255	Y	2268	1851.866973	Y
hsa-mir-199a-2	3100	2371.747741	Y	8239	4292.366475	Y	6633	5247.352591	Y	7910	7927.654887	Y	13554	3909.137501	Y	4304	3514.301345	Y
hsa-mir-199b	4433	3391.59927	Y	12127	6317.942498	Y	9574	7573.971612	Y	11516	11541.70337	Y	18147	5233.814241	Y	6309	5151.423602	Y
hsa-mir-19a	254	194.330299	N	143	74.500353	N	101	79.900891	N	51	51.113831	N	382	110.173419	N	112	91.450221	N
hsa-mir-19b-1	27	20.657158	N	27	14.0665	N	22	17.404155	N	9	9.020088	N	49	14.132193	N	6	4.899119	N
hsa-mir-19b-2	511	390.955837	N	375	195.368058	N	212	167.712762	N	88	88.196413	N	1097	316.388065	N	243	198.414318	N
hsa-mir-200a	4100	3136.827657	N	4582	2387.137175	N	4267	3375.614881	N	1077	1079.403832	N	10072	2904.886595	N	4325	3531.448261	N
hsa-mir-200b	3062	2342.674704	N	5083	2648.148901	N	5903	4669.8511	N	926	928.066805	N	12868	3711.286805	N	3549	2897.828874	N
hsa-mir-200c	8023	6138.236169	N	8733	4549.73133	N	5695	4505.302729	N	2091	2095.667051	N	24728	7131.854222	N	17148	14001.68203	N
hsa-mir-202	0	0	N	2	1.041963	N	0	0	N	0	0	N	1	0.288412	N	1	0.81652	N
hsa-mir-203	21552	16489.00236	N	51414	26785.7422	N	17470	13820.48089	N	11049	11073.66104	N	102424	29540.32016	N	28651	23394.10963	N
hsa-mir-204	20	15.301598	N	12	6.251778	N	1	0.791098	N	0	0	N	2	0.576824	N	24	19.596476	N
hsa-mir-205	6	4.590479	N	22	11.461593	N	0	0	N	0	0	N	19	5.47983	N	0	0	N
hsa-mir-2052	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-2053	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-2054	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-206	2	1.53016	N	2	1.041963	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-208a	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-208b	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-20a	525	401.666956	N	648	337.596004	N	788	623.385171	N	142	142.31694	N	1851	533.850783	N	428	349.470487	N
hsa-mir-20b	8	6.120639	N	55	28.653982	N	5	3.95549	N	9	9.020088	N	31	8.940775	N	13	10.614758	N
hsa-mir-21	221076	169140.8076	N	267660	139445.9049	N	202417	160131.6703	N	247011	247562.3213	N	693451	199999.6539	N	183425	149770.1497	N
hsa-mir-210	1628	1245.550104	N	401	208.913576	N	2380	1882.813081	N	1253	1255.796659	N	5047	1455.61583	N	1699	1387.26719	N
hsa-mir-211	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-2110	2	1.53016	N	5	2.604907	N	4	3.164392	N	0	0	N	6	1.730473	N	3	2.449559	N
hsa-mir-2113	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-212	6	4.590479	N	7	3.64687	N	23	18.195252	N	32	32.071423	N	18	5.191418	N	15	12.247797	N
hsa-mir-214	30	22.952397	N	39	20.318278	N	29	22.94184	N	52	52.116062	N	109	31.436918	N	26	21.229516	N
hsa-mir-215	975	745.952919	Y	3302	1720.280872	Y	1791	1416.856398	Y	1052	1054.348033	Y	557	160.645535	Y	2065	1686.113447	Y
hsa-mir-216a	0	0	N	3	1.562944	N	2	1.582196	N	0	0	N	10	2.884121	N	3	2.449559	N
hsa-mir-216b	0	0	N	1	0.520981	N	1	0.791098	N	0	0	N	0	0	N	0	0	N
hsa-mir-217	13	9.946039	N	18	9.377667	N	10	7.910979	N	14	14.031248	N	351	101.232644	N	15	12.247797	N
hsa-mir-218-1	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-218-2	7	5.355559	N	37	19.276315	N	9	7.119881	N	7	7.015624	N	63	18.169962	N	21	17.146916	N
hsa-mir-219-1	2	1.53016	N	4	2.083926	N	1	0.791098	N	1	1.002232	N	9	2.595709	N	2	1.63304	N
hsa-mir-219-2	1	0.76508	N	3	1.562944	N	1	0.791098	N	1	1.002232	N	1	0.288412	N	3	2.449559	N
hsa-mir-22	21155	16185.26563	N	33102	17245.5292	N	23565	18642.2228	N	43315	43411.67781	N	161712	46639.69629	N	14781	12068.9796	N
hsa-mir-220a	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-220b	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-220c	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-221	225	172.142981	N	348	181.301558	N	218	172.459349	N	153	153.341492	N	351	101.232644	N	568	463.783263	N
hsa-mir-222	186	142.304864	N	166	86.482927	N	129	102.051633	N	101	101.225429	N	184	53.067825	N	388	316.809694	N
hsa-mir-223	266	203.511258	N	242	126.07752	N	241	190.654602	N	2050	2054.57554	N	531	153.146821	N	97	79.202423	N
hsa-mir-224	145	110.936588	N	161	83.878019	N	184	145.56202	N	43	43.095975	N	311	89.696161	N	135	110.230177	N
hsa-mir-23a	6651	5088.546524	Y	11772	6132.99407	Y	8705	6886.507508	Y	6758	6773.083657	Y	16121	4649.491342	Y	8233	6722.407754	Y
hsa-mir-23b	3271	2502.576407	Y	7201	3751.587691	Y	4608	3645.379276	Y	2855	2861.372276	Y	8177	2358.34568	Y	4355	3555.943856	Y
hsa-mir-24-1	68	52.025434	N	54	28.133	N	41	32.435015	N	18	18.040175	N	59	17.016313	N	30	24.495595	N
hsa-mir-24-2	7790	5959.972549	N	5591	2912.807496	N	6221	4921.420242	N	3873	3881.644422	N	7592	2189.624606	N	5131	4189.563244	N
hsa-mir-25	14052	10750.90299	N	5826	3035.238146	N	6652	5262.383451	N	3548	3555.919032	N	38074	10981.00201	N	5643	4607.621396	N
hsa-mir-26a-1	27	20.657158	N	21	10.940611	N	34	26.89733	N	6	6.013392	N	41	11.824896	N	34	27.761674	N
hsa-mir-26a-2	1984	1517.918554	N	4355	2268.874378	N	2955	2337.694393	N	1502	1505.35242	N	3542	1021.555631	N	2914	2379.338782	N
hsa-mir-26b	1268	970.121334	N	923	480.865913	N	910	719.899119	N	451	452.006619	N	2117	610.5684	N	760	620.55507	N
hsa-mir-27a	4308	3295.96428	Y	6836	3561.429448	Y	8355	6609.623232	Y	4506	4516.05726	Y	3947	1138.362529	Y	5323	4346.335051	Y
hsa-mir-27b	3441	2632.639992	Y	5486	2858.10444	Y	4826	3817.838626	Y	2192	2196.89248	Y	3544	1022.132456	Y	3850	3143.601342	Y
hsa-mir-28	3278	2507.931966	N	5666	2951.881108	N	3572	2825.801817	N	2050	2054.57554	N	21150	6099.915755	N	3406	2781.066538	N
hsa-mir-296	3	2.29524	N	12	6.251778	N	16	12.657567	N	9	9.020088	N	40	11.536484	N	7	5.715639	N
hsa-mir-297	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-298	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-299	8	6.120639	N	4	2.083926	N	6	4.746588	N	16	16.035712	N	13	3.749357	N	1	0.81652	N
hsa-mir-29a	7416	5673.83266	N	9356	4874.302797	N	6767	5353.359714	N	2984	2990.6602	N	19520	5629.804044	N	7861	6418.662377	N
hsa-mir-29b-1	403	308.327206	N	806	419.911079	Y	770	609.145409	Y	173	173.386131	N	2350	677.768417	N	715	583.811678	N
hsa-mir-29b-2	425	325.158964	N	723	376.669615	N	749	592.532352	Y	227	227.506657	N	2249	648.638796	N	701	572.3804	N
hsa-mir-29c	537	410.847915	N	3389	1765.606261	Y	1217	962.766185	Y	748	749.669514	N	775	223.519372	N	969	791.207714	N
hsa-mir-300	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-301a	127	97.165149	N	21	10.940611	N	155	122.62018	N	29	29.064727	N	68	19.612022	N	50	40.825991	N
hsa-mir-301b	16	12.241279	N	0	0	N	9	7.119881	N	6	6.013392	N	13	3.749357	N	14	11.431278	N
hsa-mir-302a	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-302b	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-302c	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-302d	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-302e	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-302f	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-30a	8011	6129.05521	Y	8105	4222.554956	Y	4457	3525.923488	Y	3940	3948.793964	Y	25709	7414.786484	Y	4114	3359.162577	Y
hsa-mir-30b	636	486.590827	Y	575	299.564355	Y	412	325.932348	Y	192	192.428538	Y	740	213.424948	Y	440	359.268725	Y
hsa-mir-30c-1	1	0.76508	N	3	1.562944	N	0	0	N	2	2.004464	N	5	1.44206	N	7	5.715639	N
hsa-mir-30c-2	1036	792.622793	Y	592	308.421041	Y	416	329.09674	Y	268	268.598168	Y	2300	663.347813	Y	534	436.021589	Y
hsa-mir-30d	5605	4288.272932	N	6820	3553.093744	N	3388	2680.239798	N	2221	2225.957207	N	16535	4768.893948	N	3969	3240.767202	N
hsa-mir-30e	21256	16262.5387	Y	39842	20756.94442	Y	16428	12996.15685	Y	12382	12409.63626	Y	44871	12941.339	Y	21828	17822.99483	Y
hsa-mir-31	11	8.415879	N	16	8.335704	N	49	38.763799	N	43	43.095975	N	17	4.903006	N	1	0.81652	N
hsa-mir-32	124	94.86991	N	218	113.573964	N	145	114.7092	N	101	101.225429	N	70	20.188846	N	254	207.396037	N
hsa-mir-320a	121	92.57467	Y	165	85.961945	Y	220	174.041545	Y	97	97.216501	Y	736	212.2713	Y	250	204.129957	Y
hsa-mir-320b-1	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-320b-2	27	20.657158	Y	10	5.209815	Y	17	13.448665	Y	10	10.02232	Y	49	14.132193	Y	20	16.330397	Y
hsa-mir-320c-1	0	0	N	1	0.520981	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-320c-2	0	0	N	0	0	N	1	0.791098	N	0	0	N	0	0	N	0	0	N
hsa-mir-320d-1	2	1.53016	N	2	1.041963	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-320d-2	0	0	N	1	0.520981	N	1	0.791098	N	0	0	N	0	0	N	1	0.81652	N
hsa-mir-323	6	4.590479	N	11	5.730796	N	13	10.284273	N	16	16.035712	N	16	4.614593	N	5	4.082599	N
hsa-mir-324	55	42.079395	N	45	23.444167	N	41	32.435015	N	29	29.064727	N	107	30.860094	N	41	33.477313	N
hsa-mir-325	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-326	51	39.019076	N	44	22.923185	N	32	25.315134	N	39	39.087047	N	26	7.498714	N	57	46.54163	N
hsa-mir-328	19	14.536518	N	38	19.797297	N	22	17.404155	N	33	33.073655	N	58	16.727901	N	28	22.862555	N
hsa-mir-329-1	0	0	N	1	0.520981	N	2	1.582196	N	5	5.01116	N	2	0.576824	N	0	0	N
hsa-mir-329-2	0	0	N	1	0.520981	N	4	3.164392	N	2	2.004464	N	2	0.576824	N	0	0	N
hsa-mir-330	24	18.361918	N	27	14.0665	N	28	22.150742	N	14	14.031248	N	20	5.768242	N	22	17.963436	N
hsa-mir-331	140	107.111188	N	204	106.280223	N	203	160.59288	N	107	107.238821	N	72	20.765671	N	343	280.066301	N
hsa-mir-335	322	246.355733	N	172	89.608816	N	334	264.22671	N	19	19.042407	N	796	229.576026	N	165	134.725772	N
hsa-mir-337	64	48.965115	N	46	23.965148	N	63	49.83917	N	49	49.109367	N	182	52.491001	N	36	29.394714	N
hsa-mir-338	130	99.460389	N	892	464.715487	N	135	106.798221	N	195	195.435234	N	263	75.85238	N	174	142.07445	N
hsa-mir-339	59	45.139715	N	33	17.192389	N	37	29.270624	N	17	17.037944	N	91	26.2455	N	33	26.945154	N
hsa-mir-33a	225	172.142981	N	402	209.434558	N	717	567.217218	N	67	67.149542	N	173	49.895292	N	312	254.754187	N
hsa-mir-33b	32	24.482557	N	52	27.091037	N	106	83.856381	N	35	35.078119	N	8	2.307297	N	69	56.339868	N
hsa-mir-340	26	19.892078	N	9	4.688833	N	12	9.493175	N	10	10.02232	N	44	12.690132	N	32	26.128635	N
hsa-mir-342	49	37.488916	N	57	29.695945	N	56	44.301484	N	34	34.075887	N	235	67.776842	N	44	35.926872	N
hsa-mir-345	69	52.790514	N	73	38.031649	N	39	30.852819	N	22	22.049103	N	89	25.668676	N	131	106.964098	N
hsa-mir-346	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-34a	132	100.990549	N	169	88.045871	N	134	106.007123	N	100	100.223197	N	173	49.895292	N	222	181.267402	N
hsa-mir-34b	0	0	N	0	0	N	0	0	N	0	0	N	2	0.576824	N	0	0	N
hsa-mir-34c	0	0	N	2	1.041963	N	1	0.791098	N	5	5.01116	N	6	1.730473	N	3	2.449559	N
hsa-mir-361	259	198.155698	N	382	199.014928	N	284	224.671813	N	175	175.390595	N	1051	303.121109	N	335	273.534143	N
hsa-mir-362	30	22.952397	N	90	46.888334	N	15	11.866469	N	8	8.017856	N	114	32.878979	N	37	30.211234	N
hsa-mir-363	8	6.120639	N	26	13.545519	N	2	1.582196	N	16	16.035712	N	49	14.132193	N	9	7.348678	N
hsa-mir-365-1	6	4.590479	N	11	5.730796	N	8	6.328783	N	8	8.017856	N	74	21.342495	N	9	7.348678	N
hsa-mir-365-2	3	2.29524	N	7	3.64687	N	6	4.746588	N	4	4.008928	N	72	20.765671	N	11	8.981718	N
hsa-mir-367	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-369	29	22.187318	N	37	19.276315	N	51	40.345995	N	40	40.089279	N	47	13.555368	N	14	11.431278	N
hsa-mir-370	14	10.711119	N	16	8.335704	N	18	14.239763	N	20	20.044639	N	40	11.536484	N	6	4.899119	N
hsa-mir-371	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-372	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-373	0	0	N	0	0	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-374a	750	573.809937	N	765	398.550838	N	411	325.141251	N	356	356.794582	N	2046	590.091141	N	865	706.289652	N
hsa-mir-374b	46	35.193676	N	136	70.853482	N	71	56.167953	N	31	31.069191	N	273	78.736501	N	175	142.89097	N
hsa-mir-375	55510	42469.58616	N	45278	23588.99979	N	58608	46364.66767	N	7951	7968.746398	N	37541	10827.27836	N	21275	17371.45937	N
hsa-mir-376a-1	4	3.06032	N	2	1.041963	N	7	5.537686	N	5	5.01116	N	6	1.730473	N	2	1.63304	N
hsa-mir-376a-2	1	0.76508	N	0	0	N	3	2.373294	N	1	1.002232	N	2	0.576824	N	1	0.81652	N
hsa-mir-376b	6	4.590479	Y	6	3.125889	Y	2	1.582196	Y	4	4.008928	Y	6	1.730473	Y	1	0.81652	Y
hsa-mir-376c	9	6.885719	Y	12	6.251778	Y	9	7.119881	Y	7	7.015624	Y	32	9.229187	Y	5	4.082599	Y
hsa-mir-377	5	3.8254	N	8	4.167852	N	12	9.493175	N	9	9.020088	N	13	3.749357	N	2	1.63304	N
hsa-mir-378	461	352.701841	N	293	152.647576	N	198	156.637391	N	102	102.227661	N	1236	356.477346	N	233	190.24912	N
hsa-mir-379	853	652.613169	N	1148	598.086748	N	1673	1323.506842	N	2389	2394.332178	N	3202	923.49552	N	598	488.278858	N
hsa-mir-380	2	1.53016	N	1	0.520981	N	2	1.582196	N	0	0	N	4	1.153648	N	0	0	N
hsa-mir-381	86	65.796873	N	81	42.1995	N	81	64.078933	N	152	152.33926	N	236	68.065254	N	31	25.312115	N
hsa-mir-382	29	22.187318	N	44	22.923185	N	38	30.061721	N	61	61.13615	N	92	26.533913	N	21	17.146916	N
hsa-mir-383	1	0.76508	N	3	1.562944	N	1	0.791098	N	0	0	N	0	0	N	0	0	N
hsa-mir-384	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-409	95	72.682592	N	62	32.300852	N	111	87.811871	N	105	105.234357	N	220	63.45066	N	30	24.495595	N
hsa-mir-410	8	6.120639	N	5	2.604907	N	8	6.328783	N	15	15.03348	N	24	6.92189	N	4	3.266079	N
hsa-mir-411	12	9.180959	N	8	4.167852	N	20	15.821959	N	15	15.03348	N	37	10.671247	N	4	3.266079	N
hsa-mir-412	13	9.946039	N	7	3.64687	N	4	3.164392	N	4	4.008928	N	37	10.671247	N	1	0.81652	N
hsa-mir-421	9	6.885719	N	10	5.209815	N	19	15.030861	N	4	4.008928	N	13	3.749357	N	26	21.229516	N
hsa-mir-422a	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-423	133	101.755629	N	149	77.626242	N	124	98.096144	N	108	108.241053	N	311	89.696161	N	107	87.367622	N
hsa-mir-424	212	162.196942	N	232	120.867705	N	514	406.624338	N	160	160.357115	N	1365	393.682506	N	167	136.358811	N
hsa-mir-425	941	719.940201	N	297	154.731502	N	707	559.306239	N	301	301.671823	N	1213	349.843868	N	453	369.883483	N
hsa-mir-429	776	593.702015	N	731	380.837467	N	1080	854.385768	N	148	148.330332	N	2797	806.688623	N	1046	854.079741	N
hsa-mir-431	18	13.771438	N	13	6.772759	N	33	26.106232	N	37	37.082583	N	31	8.940775	N	8	6.532159	N
hsa-mir-432	7	5.355559	N	6	3.125889	N	14	11.075371	N	12	12.026784	N	32	9.229187	N	5	4.082599	N
hsa-mir-433	7	5.355559	N	3	1.562944	N	4	3.164392	N	0	0	N	7	2.018885	N	2	1.63304	N
hsa-mir-448	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-449a	0	0	N	3	1.562944	N	0	0	N	0	0	N	1	0.288412	N	1	0.81652	N
hsa-mir-449b	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-450a-1	2	1.53016	N	0	0	N	4	3.164392	N	4	4.008928	N	27	7.787126	N	3	2.449559	N
hsa-mir-450a-2	7	5.355559	N	2	1.041963	N	4	3.164392	N	3	3.006696	N	25	7.210302	N	2	1.63304	N
hsa-mir-450b	21	16.066678	N	12	6.251778	N	14	11.075371	N	8	8.017856	N	109	31.436918	N	9	7.348678	N
hsa-mir-451	802	613.594093	N	981	511.082839	N	1161	918.4647	N	1899	1903.238512	N	326	94.022342	N	307	250.671588	N
hsa-mir-452	190	145.365184	N	162	84.399001	N	118	93.349556	N	76	76.16963	N	230	66.334781	N	298	243.322909	N
hsa-mir-453	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-454	22	16.831758	N	9	4.688833	N	30	23.732938	N	18	18.040175	N	51	14.709017	N	16	13.064317	N
hsa-mir-455	790	604.413134	N	881	458.98469	N	601	475.449858	N	1288	1290.874778	N	1411	406.949462	N	884	721.803529	N
hsa-mir-483	1962	1501.086796	N	8	4.167852	N	878	694.583985	N	14	14.031248	N	4	1.153648	N	1126	919.401328	N
hsa-mir-484	187	143.069944	N	60	31.258889	N	77	60.914541	N	80	80.178558	N	164	47.299583	N	37	30.211234	N
hsa-mir-485	8	6.120639	N	3	1.562944	N	5	3.95549	N	9	9.020088	N	8	2.307297	N	2	1.63304	N
hsa-mir-486	93	71.152432	N	121	63.03876	N	95	75.154304	N	406	406.90618	N	59	17.016313	N	25	20.412996	N
hsa-mir-487a	4	3.06032	N	2	1.041963	N	3	2.373294	N	3	3.006696	N	4	1.153648	N	0	0	N
